№,Название,Адрес,Категория,Рейтинг,Отзывы
1,Evidence Clinic,"Кабанбай батыр проспект, 11/2",частная клиника,5,2930
2,"One Dent, стоматологическая клиника","проспект Туран, 22/1",стоматология,5,333
3,"Amangeldy Clinic, центр педиатрии и семейного здоровья","Керей, Жанибек хандар улица, 22/1",стоматология,5,225
4,Prouve Beauty Club,"проспект Туран, 39",косметология,5,127
5,Kedma Luxury Spa,"Кабанбай батыр проспект, 28",косметология,4.9,8204
6,Opatra London,"улица Кенесары, 51",косметология,4.9,5544
7,"Ultraline, медицинский центр","улица Санжара Асфендиярова, 3а",стоматология,4.9,4843
8,"Darmed, клиника женского здоровья","проспект Мангилик Ел, 40а",частная клиника,4.9,3499
9,"Darmed, клиника женского здоровья","улица Алихан Бокейхан, 8",частная клиника,4.9,2417
10,"Pallada, клиника","улица Сагадат Нурмагамбетов, 19",косметология,4.9,1411
11,"Doctor Dent, стоматологическая клиника","улица Туркестан, 8/2",стоматология,4.9,1337
12,TM Barbershop,"проспект Мангилик Ел, 28",салон красоты,4.9,1210
13,"STARMOON, салон красоты","проспект Абылай хана, 54а",салон красоты,4.9,1124
14,"One Dent, стоматологическая клиника","проспект Женис, 16",стоматология,4.9,932
15,"Darmed, клиника женского здоровья","проспект Тауелсиздик, 56/2",частная клиника,4.9,883
16,Satti Clinic,"улица Габидена Мустафина, 21",стоматология,4.9,858
17,"Аяла, медицинский центр","улица Туркестан, 28/2",стоматология,4.9,791
18,"Nocktiki, студия креативного маникюра","улица Сыганак, 64/1",салон красоты,4.9,772
19,"Рахат, стоматологические клиники","Амангельды Иманова улица, 17",стоматология,4.9,745
20,"Baby Smile, детская стоматология","Амангельды Иманова улица, 16",стоматология,4.9,723
21,"Doctor Dent Junior, детская стоматология","улица Туркестан, 8",стоматология,4.9,717
22,"Sandra, салон красоты","проспект Мангилик Ел, 41/3",косметология,4.9,715
23,"One Dent, стоматологическая клиника","проспект Мангилик Ел, 28",стоматология,4.9,697
24,"Chocolate Beauty Salon, салон красоты","Кабанбай батыр проспект, 9/2",салон красоты,4.9,676
25,"Diana clinic, медицинский центр","проспект Ракымжан Кошкарбаев, 41",частная клиника,4.9,658
26,"Sapa Dent, семейная стоматология","Кабанбай батыр проспект, 58Б корпус 3",стоматология,4.9,654
27,Bas dent,"проспект Мангилик Ел, 26",стоматология,4.9,604
28,"Tulip Medicine, клиника красоты и омоложения","улица Александр Бараев, 21",косметология,4.9,578
29,"Клиника Рахат, современный многопрофильный медицинский центр","улица Беимбет Майлин, 18",частная клиника,4.9,511
30,Eleven Clinic,"проспект Мангилик Ел, 55а",косметология,4.9,487
31,"IVI clinic, многопрофильный медицинский центр","проспект Мангилик Ел, 26а",частная клиника,4.9,467
32,"Colibri, клиника здоровья и эстетической стоматологии","улица Достык, 4",стоматология,4.9,466
33,"Doctor Dent, стоматологическая клиника","Кабанбай батыр проспект, 16",стоматология,4.9,454
34,"Sapa Dent, семейная стоматология","проспект Улы Дала, 31",стоматология,4.9,443
35,"Sevil Kids, стоматологическая клиника","улица Орынбор, 10/2",стоматология,4.9,372
36,"Sandra, салон красоты","улица Достык, 4",косметология,4.9,355
37,"Miss Brown, студия красоты и загара","проспект Мангилик Ел, 51/5",косметология,4.9,283
38,"Sunrise, салон красоты","проспект Улы Дала, 39",косметология,4.9,282
39,Astra Dent,"проспект Мангилик Ел, 36",стоматология,4.9,243
40,"La Vie beauty space, салон красоты","улица Акмешит, 1 блок 6",косметология,4.9,205
41,"Soldi Highlights, салон красоты","улица Санжара Асфендиярова, 2",салон красоты,4.9,107
42,"Ultraline, медицинский центр","Керей, Жанибек хандар улица, 11",частная клиника,4.8,2312
43,Tesla-Med,"улица Алексея Петрова, 30",частная клиника,4.8,2303
44,"altai clinic, медицинский центр","улица Сарайшык, 7",частная клиника,4.8,1513
45,"One Dent, стоматологическая клиника","улица Кенесары, 47",стоматология,4.8,1300
46,"Sisters, салон красоты","проспект Абылай хана, 28",салон красоты,4.8,1233
47,"AYANA CLINIC, медицинский центр","улица Каныш Сатпаев, 13/3",частная клиника,4.8,1168
48,"Lammi me, студия ламинирования ресниц","проспект Туран, 55/10",салон красоты,4.8,1135
49,"DA Clinic, многопрофильный медицинский центр","Кабанбай батыр проспект, 48а",стоматология,4.8,1029
50,"Астана Эколайф, медицинский центр","проспект Бауыржан Момышулы, 2д",частная клиника,4.8,1028
51,"Imperial, салон красоты","улица Алихан Бокейхан, 27/1",салон красоты,4.8,888
52,Cagatay Gercek,"проспект Туран, 14",салон красоты,4.8,843
53,"Altay Dent, стоматология","улица Сарайшык, 5",стоматология,4.8,836
54,"Palo, салон красоты","улица Толе би, 48/1",салон красоты,4.8,773
55,"Aura, SPA-пространство","Бухар жырау улица, 30",косметология,4.8,767
56,"DiVera, медицинский центр","Кабанбай батыр проспект, 47/2",частная клиника,4.8,654
57,"Halal Beauty, студия красоты","улица Толе би, 48",косметология,4.8,620
58,"ЦетнаМед, центр традиционной и народной медицины","Александр Кравцов улица, 1",частная клиника,4.8,611
59,"Slay Queen, студия креативного маникюра","улица Мухтара Ауэзова, 4",салон красоты,4.8,532
60,Liberty Stom,"улица Кайым Мухамедханов, 11",стоматология,4.8,504
61,"Callisto beauty clinic, клиника пластической хирургии, стоматологии и гинекологии","проспект Мангилик Ел, 29/1",стоматология,4.8,495
62,"Zoloto, салон красоты","улица Толе би, 59",косметология,4.8,487
63,"Sultandent, авторская стоматология Акмурзаева","проспект Улы Дала, 54",стоматология,4.8,468
64,"Tulip Medicine, центр эстетической медицины и хирургии","улица Ахмет Байтурсынулы, 1",косметология,4.8,459
65,"Medical Garden, медицинский центр","Керей, Жанибек хандар улица, 2/1",стоматология,4.8,412
66,"SmartDerma, центр дерматологии и косметологии","улица Толе би, 50",косметология,4.8,354
67,"ADAM CLINIC, многопрофильная клиника","улица Айтеке би, 14",частная клиника,4.8,345
68,Имбирь Thai SPA Platinum,"улица Сыганак, 48а",косметология,4.8,291
69,"The Human, ​центр коррекции фигуры и косметологии","проспект Туран, 50/2",косметология,4.8,286
70,"Sakura, студия красоты","улица Достык, 18",косметология,4.8,273
71,"altai clinic, медицинский центр","улица Алексея Петрова, 18",частная клиника,4.8,272
72,"Medifort, медицинский центр","улица Жубан Молдагалиев, 1",косметология,4.8,244
73,Estet Premium by Ashirov Azamat,"улица Алихан Бокейхан, 27",косметология,4.8,239
74,"Lammi me, студия ламинирования ресниц","проспект Бауыржан Момышулы, 2/5",салон красоты,4.8,234
75,"Ami beauty, салон красоты","улица Аскар Токпанов, 22",салон красоты,4.8,227
76,"Alfa Gentlemen, мужской салон","проспект Мангилик Ел, 52 блок B1",косметология,4.8,194
77,"SunLife, медицинский центр","улица Е 251, 6",стоматология,4.8,182
78,"Bright Dent, стоматологический центр","проспект Улы Дала, 57",стоматология,4.8,94
79,"Lucem medical clinic, многопрофильная медицинская клиника","улица Аманат, 2",частная клиника,4.7,5181
80,"AYANA CLINIC, медицинский центр","улица Кенжебек Кумисбеков, 8",частная клиника,4.7,1980
81,"Reyka, банно-оздоровительный комплекс","улица Илияс Омаров, 6/1",косметология,4.7,1637
82,Национальный научный медицинский центр,"проспект Абылай хана, 42",частная клиника,4.7,1634
83,"One Dent, стоматологическая клиника","улица Достык, 1а",стоматология,4.7,1515
84,"AYANA CLINIC, медицинский центр","проспект Улы Дала, 45/1",частная клиника,4.7,1069
85,"Mom`s beauty, салон красоты","проспект Мангилик Ел, 53",салон красоты,4.7,878
86,Astana Clinic,"улица Кенесары, 52",стоматология,4.7,804
87,"Dent-Lux, стоматологические клиники экспертного класса","улица Сарайшык, 5",стоматология,4.7,709
88,"Fan-Fan, салон красоты","проспект Мангилик Ел, 19",косметология,4.7,698
89,"Mom`s beauty, салон красоты","проспект Туран, 22/1",косметология,4.7,604
90,"БиоДент, медицинский центр","проспект Мангилик Ел, 50",косметология,4.7,578
91,Aisera Clinic,"улица Жумекен Нажимеденов, 14",косметология,4.7,540
92,"Insix, салон красоты","проспект Туран, 43/3",салон красоты,4.7,503
93,"Fan-Fan, салон красоты","улица Абубакир Тыныбаев, 10",косметология,4.7,496
94,"Mom`s beauty, салон красоты","улица Шамши Калдаяков, 8",салон красоты,4.7,463
95,"Anna Vi Clinics, медицинский центр","улица Александр Бараев, 25",косметология,4.7,431
96,Национальный центр детской реабилитации,"проспект Туран, 36",частная клиника,4.7,426
97,Zein Dent,"улица Габит Мусрепов, 16/1",стоматология,4.7,360
98,"Мама Boss, салон красоты","улица Кайым Мухамедханов, 4а",салон красоты,4.7,278
99,"Дарус, клиника косметологии","улица Туркестан, 10",косметология,4.7,251
100,Aray Dent,"улица Сарайшык, 34/1",стоматология,4.7,87
101,Prime Green Clinic,"улица Сауран, 21",частная клиника,4.7,70
102,"Vip Studio, студия красоты","проспект Богенбай батыра, 56а",косметология,4.6,2025
103,"ADAM CLINIC, многопрофильная клиника","улица Кенесары, 50",стоматология,4.6,1159
104,"DiVera, медицинский центр","переулок Манкент, 2",частная клиника,4.6,759
105,"Tiara, семейная стоматология","Керей, Жанибек хандар улица, 16",стоматология,4.6,710
106,"ЭМИРМЕД, медицинский центр","улица Сауран, 1",стоматология,4.6,608
107,Студия красоты Алишера Ешенкул,"проспект Мангилик Ел, 41/3",косметология,4.6,447
108,"Pink Beauty, салон красоты","Кабанбай батыр проспект, 58Б корпус 5",косметология,4.6,439
109,"Арт-дент, стоматологическая клиника","Кабанбай батыр проспект, 2",стоматология,4.6,296
110,"Amast, медицинский центр","улица Абубакир Тыныбаев, 7",частная клиника,4.6,224
111,"ADAM CLINIC, многопрофильная клиника","улица Ахмет Байтурсынулы, 14/1",стоматология,4.6,66
112,"ЭМИРМЕД, медицинский центр","улица Куйши Дина, 9",стоматология,4.5,5833
113,Alanda Clinic,"проспект Тауелсиздик, 33",стоматология,4.5,1577
114,"On Clinic, медицинский центр","улица Шокана Уалиханова, 1",частная клиника,4.5,1496
115,"Marsal, студия красоты","улица Сарайшык, 7",салон красоты,4.5,1123
116,"Level, салон красоты","проспект Мангилик Ел, 36",салон красоты,4.5,401
117,ДермЭстет Клиника,"Кабанбай батыр проспект, 5/1",косметология,4.5,331
118,"Metabody, клиника интегративной медицины","проспект Тауелсиздик, 31/2",косметология,4.5,308
119,"The Дети, детский салон красоты","улица Сыганак, 17Б",салон красоты,4.5,149
120,"Queen bee, салон красоты","проспект Мангилик Ел, 21",косметология,4.5,44